帖子编号,固定链接,发布消息,类型,国家/地区,语言,发了帖子,受众定位,广告发布期间帖子总覆盖人数,广告发布期间帖子自然覆盖人数,广告发布期间帖子付费覆盖人数,广告发布期间帖子总展示次数,广告发布期间帖子自然展示次数,广告发布期间帖子付费展示次数,广告发布期间互动用户人数,广告发布期间帖子消费者人数,广告发布期间帖子使用量,广告发布期间的负面反馈,广告发布期间用户负面反馈次数,广告发布期间帖子对赞主页用户的展示次数,广告发布期间帖子覆盖人数（按赞主页的用户）,广告发布期间帖子对赞主页用户的展示次数,广告发布期间帖子对赞主页用户的付费覆盖人数,广告发布期间赞主页和与帖子互动的用户人数,"广告发布期间 95% 自然观看量","广告发布期间 95% 自然观看量","广告发布期间 95% 视频付费观看量","广告发布期间 95% 视频付费观看量",广告发布期间视频自然观看量,广告发布期间视频自然观看量,广告发布期间视频付费观看量,广告发布期间视频付费观看量,广告发布期间的视频平均观看时间,视频总时长,"广告发布期间（帖子）谈论次数（按操作类型） - share","广告发布期间（帖子）谈论次数（按操作类型） - like","广告发布期间（帖子）谈论次数（按操作类型） - comment","广告发布期间的帖子动态（按操作类型） - share","广告发布期间的帖子动态（按操作类型） - like","广告发布期间的帖子动态（按操作类型） - comment","广告发布期间帖子消费者（按类型） - other clicks","广告发布期间帖子消费者（按类型） - photo view","广告发布期间帖子消费者（按类型） - video play","广告发布期间帖子消费者（按类型） - link clicks","广告发布期间帖子使用量 - 按类型 - other clicks","广告发布期间帖子使用量 - 按类型 - photo view","广告发布期间帖子使用量 - 按类型 - video play","广告发布期间帖子使用量 - 按类型 - link clicks","广告发布期间用户负面反馈次数 - 按类型 - hide_clicks","广告发布期间用户负面反馈次数 - 按类型 - hide_all_clicks","广告发布期间用户负面反馈次数 - 按类型 - unlike_page_clicks","广告发布期间用户负面反馈次数 - 按类型 - report_spam_clicks","广告发布期间的负面反馈 - hide_clicks","广告发布期间的负面反馈 - hide_all_clicks","广告发布期间的负面反馈 - unlike_page_clicks","广告发布期间的负面反馈 - report_spam_clicks"
169799706487474_1245465632254204,https://www.facebook.com/CGTNFrancais/posts/1245465632254204,"#Davos2018 Admirons la splendeur hivernale de #Davos
La réunion annuelle du Forum économique mondial se tient du 23 au 26 janvier à Davos, dans l'est de la #Suisse. Situé à une altitude de 1500 mètres, c’est aussi un site idéal pour le ski.",Photo,,,"01/24/2018 04:00:00 AM"," ",79923,77797,0,141369,138245,0,2605,1288,1497,4,6,136771,76742,0,0,2511,0,0,0,0,0,0,0,0,0,0,73,1378,10,79,1427,10,420,948,,,476,1021,,,1,2,,3,1,2,,2
169799706487474_1245532605580840,https://www.facebook.com/CGTNFrancais/posts/1245532605580840,"Le président américain Donald Trump déroulera cette année le tapis rouge à la Maison Blanche à son homologue français Emmanuel Macron, a indiqué mardi à l'AFP un responsable américain.

La date exacte de cette visite n'a pas encore été arrêtée, a-t-on ajouté de même source.

M. Macron devrait avoir droit à la première &quot;visite d'Etat&quot; organisée par le président américain depuis son arrivée au pouvoir il y a un an.

Les deux dirigeants, qui se sont rencontrés à plusieurs reprises, entretiennent de bonnes relations en dépit de nombre de désaccords de fond, en particulier sur la question du climat.

Le président français, qui a déploré la décision du locataire de la Maison Blanche de sortir de l'accord de Paris, a ouvertement exprimé l'espoir que son &quot;ami&quot; Trump change d'avis dans les mois ou les années à venir.

M. Macron avait reçu M. Trump en grande pompe le 14 juillet à Paris. Ce dernier s'était déclaré particulièrement impressionné par le &quot;formidable&quot; défilé militaire, évoquant l'idée d'en organiser un à Washington le 4 juillet, jour de la fête nationale américaine.

Lors de leur nouvelle rencontre en septembre à l'ONU, M. Trump n'avait pas tari d'éloges sur le président français, de 31 ans son cadet.

&quot;Il fait un super boulot en France. Il fait ce qui doit être fait&quot;, avait-il lancé. &quot;Il est respecté par les Français et les Américains&quot;. (avec AFP)",Photo,,,"01/24/2018 03:30:01 AM"," ",228765,222103,0,404102,393444,0,10490,7503,8659,24,24,389928,218849,0,0,10155,0,0,0,0,0,0,0,0,0,0,116,3314,47,130,3490,51,3245,4635,,,3670,4989,,,14,10,,,14,10,,
169799706487474_1245559655578135,https://www.facebook.com/CGTNFrancais/posts/1245559655578135,"Suivez-nous sur Instagram : cgtnfrancais ! 

❄️📮La Poste chinoise a inauguré les deux plus grandes boîtes aux lettres en glace au monde ! 

Les deux plus grandes boîtes aux lettres en glace du monde ont été dévoilées au Monde de glace et de neige de Harbin (le Harbin Ice and Snow World), dans le nord-est de la province chinoise du Heilongjiang, avec un timbre spécialement conçu pour l'événement annuel.

Les boîtes aux lettres de 2,6 mètres de haut ne sont pas seulement là pour faire joli, mais sont fonctionnelles ! Vous pouvez acheter une carte postale sur le thème de la glace au bureau de poste, qui est ensuite tamponnée et prête à être insérée dans la boîte aux lettres ! Les postiers de la ville de Harbin passent chercher le courrier tous les soirs pour le délivrer dans le monde entier !",Photo,,,"01/24/2018 03:30:00 AM"," ",40366,39722,0,68906,67446,0,1049,639,731,5,5,66610,39367,0,0,998,0,0,0,0,0,0,0,0,0,0,17,411,3,19,424,3,273,406,,,308,423,,,2,3,,,2,3,,
169799706487474_1245621902238577,https://www.facebook.com/CGTNFrancais/posts/1245621902238577,"#UnAnDiscoursXiDavos# Le président chinois Xi Jinping a prononcé un discours durant la cérémonie d'ouverture de la réunion annuelle du Forum économique mondial, à Davos en Suisse, le 17 janvier 2017. Voici les dix points à retenir du discours du président chinois Xi Jinping.
3. A l'heure actuelle, la tâche la plus urgente qui s'impose à nous est de sortir l'économie mondiale de l'ornière dans laquelle elle se trouve.",Photo,,,"01/24/2018 02:30:00 AM"," ",30763,30590,0,55222,54884,0,488,281,309,5,5,54004,29911,0,0,461,0,0,0,0,0,0,0,0,0,0,7,222,4,7,229,4,184,109,,,196,113,,,2,3,,,2,3,,
169799706487474_1245463125587788,https://www.facebook.com/CGTNFrancais/videos/1245463125587788/,"L'artiste chinois Wu Weishan, a été honoré à titre d'académicien de l'Académie française des beaux-arts, en décembre dernier. Il est le deuxième artiste chinois à recevoir ce prix, après l'artiste chinois renommé Wu Guanzhong. Wu Weishan est le directeur du Musée d'art national de Chine. Pendant des décennies, il a activement promu l'art chinois sur la scène mondiale.",Video,,,"01/24/2018 02:00:00 AM"," ",26461,26377,0,49752,49474,0,1953,1840,3138,5,5,48308,25546,0,0,1751,301,308,0,0,4859,5082,0,0,5945,63230,20,191,1,25,202,1,1650,4,1059,,1960,4,1174,,,4,,1,,4,,1
169799706487474_1245620988905335,https://www.facebook.com/CGTNFrancais/posts/1245620988905335,"#UnAnDiscoursXiDavos# Le président chinois Xi Jinping a prononcé un discours durant la cérémonie d'ouverture de la réunion annuelle du Forum économique mondial, à Davos en Suisse, le 17 janvier 2017. Voici les dix points à retenir du discours du président chinois Xi Jinping.
2. Que cela nous plaise ou non, l'économie mondiale est un vaste océan auquel nul ne peut échapper. Tout effort visant à entraver la circulation des capitaux, des technologies, des produits, des industries et des personnes entre les économies, ou à tenter de canaliser les eaux de cet océan vers des criques et des lacs isolés, n'est tout simplement pas réalisable. Cela va à l'encontre de la tendance historique actuelle.",Photo,,,"01/24/2018 01:35:01 AM"," ",49986,49886,0,90336,89963,0,1018,617,683,3,4,88785,49110,0,0,992,0,0,0,0,0,0,0,0,0,0,7,438,4,7,456,4,371,268,,,401,282,,,2,1,,1,2,1,,1
169799706487474_1245620078905426,https://www.facebook.com/CGTNFrancais/posts/1245620078905426,"#UnAnDiscoursXiDavos# Le président chinois Xi Jinping a prononcé un discours durant la cérémonie d'ouverture de la réunion annuelle du Forum économique mondial, à Davos en Suisse, le 17 janvier 2017. Voici les dix points à retenir du discours du président chinois Xi Jinping.
1. La plupart des problèmes qui affectent le monde actuel n'ont pas été causés par la mondialisation économique. Accuser celle-ci de tous les maux du monde n'est pas conforme à la réalité, et n'aidera pas à résoudre ces problèmes.",Photo,,,"01/24/2018 01:01:13 AM"," ",40157,39129,0,71502,69833,0,778,461,544,6,6,69074,38522,0,0,723,0,0,0,0,0,0,0,0,0,0,7,331,10,8,333,10,343,158,,,380,164,,,5,1,,,5,1,,
169799706487474_1245612988906135,https://www.facebook.com/CGTNFrancais/videos/1245612988906135/,"Culture Express 01/24",Video,,,"01/24/2018 01:00:21 AM"," ",29094,27220,0,46347,43266,0,2538,1995,2730,15,16,38617,22876,0,0,2285,9,9,0,0,6065,6089,0,0,10849,906268,24,669,78,48,970,86,1008,3,1388,,1251,3,1476,,5,11,,,5,10,,
169799706487474_1245608402239927,https://www.facebook.com/CGTNFrancais/posts/1245608402239927,"#Davos2018 Le thème du Forum de #Davos est en phase avec les politiques chinoises
La communauté de destin avancée par la Chine bénéficiera au «monde fracturé» d’aujourd’hui. Le thème du Forum économique mondial de Davos de cette année - Créer un avenir partagé dans un monde fracturé – coïncide parfaitement avec les politiques économiques étrangères de la Chine et son initiative de « #LaCeintureEtLaRoute », ont affirmé des économistes et des experts chinois.",Photo,,,"01/24/2018 12:34:07 AM"," ",35084,34896,0,59855,59488,0,553,374,447,3,3,58582,34346,0,0,542,0,0,0,0,0,0,0,0,0,0,7,190,2,7,190,3,195,208,,,229,218,,,1,2,,,1,2,,
169799706487474_1245461725587928,https://www.facebook.com/CGTNFrancais/posts/1245461725587928,"La 2e réunion ministérielle du Forum #Chine-#CELAC inaugure de nouveaux secteurs de coopération
La Chine et la Communauté des Etats d'Amérique latine et des Caraïbes (CELAC) se sont engagées à bâtir une économie mondiale ouverte et ont inauguré de nouveaux secteurs de coopération tels que la lutte commune contre la drogue, la corruption et la cybercriminalité, a annoncé le ministre chinois des Affaires étrangères, #WangYi.",Photo,,,"01/23/2018 11:39:00 PM"," ",30109,30068,0,52524,52487,0,429,255,274,2,2,51612,29475,0,0,415,0,0,0,0,0,0,0,0,0,0,2,188,1,2,194,1,156,109,,,163,111,,,1,1,,,1,1,,
169799706487474_1245543402246427,https://www.facebook.com/CGTNFrancais/videos/1245543402246427/,"EN DIRECT : au cœur du plus grand marché aux fleurs d'Asie, le marché de Dounan dans le Yunnan, au sud-ouest de la Chine. Découvrez l'histoire des fleurs comestibles et les différentes recettes fleuries en suivant Lisa Te et Pei Renhao, journalistes de CGTN Français.",Video,,,"01/23/2018 11:00:29 PM"," ",885756,88417,803630,1021767,112367,883061,36997,33163,37206,10,10,226922,184909,177585,160087,10459,21,21,356,366,16177,17512,196403,215737,13768,2359301,553,5551,471,627,7251,583,5258,5,29798,9,6194,5,30996,11,4,6,,,4,6,,
169799706487474_1245460758921358,https://www.facebook.com/CGTNFrancais/posts/1245460758921358,"#Davos2018 #Zurich : plus d'un millier de manifestants contre la venue de #Trump à #Davos
Longtemps incertaine à cause de la crise budgétaire à Washington, la visite de M. Trump en Suisse a été confirmée lundi soir par la Maison Blanche. &quot;Trump not welcome&quot; (&quot;Trump n'est pas le bienvenu&quot;), scandaient les manifestants qui ont défilé dans le centre-ville de Zurich, arborant des banderoles et des pancartes sur lesquelles on pouvait lire : &quot;Dump the Trump (&quot;Jetez le Trump&quot;), &quot;Smash WEF&quot; (&quot;Détruisez le Forum économique mondial&quot;) et &quot;Switzerland is hosting nazis&quot; (&quot;La Suisse accueille des Nazis&quot;). La manifestation était organisée par les Jeunes socialistes suisses et le Mouvement pour le socialisme, rejoints par de nombreuses organisations altermondialistes.",Photo,,,"01/23/2018 10:38:00 PM"," ",86050,85151,0,148320,146849,0,2237,1630,1942,10,10,144893,83439,0,0,2187,0,0,0,0,0,0,0,0,0,0,30,685,13,32,685,22,811,940,,,903,1039,,,6,4,,,6,4,,
169799706487474_1245458835588217,https://www.facebook.com/CGTNFrancais/videos/1245458835588217/,"#Davos2018 Des choix économiques qui aident ou divisent l'Union européenne (#UE)
Les délégués n'ont pas à regarder bien loin pour voir comment l'Union européenne est divisée sur le plan tant politique que social. Mais est-ce que les fissures créées lors de la crise de l'Euro s'élargissent ou est-ce que la situation s'améliore en vertu de réformes. Tout de suite plus de détails.",Video,,,"01/23/2018 09:30:00 PM"," ",28356,28312,0,49879,49744,0,1245,1159,2140,3,3,46708,25770,0,0,1147,186,194,0,0,5514,5622,0,0,6692,95379,11,131,1,11,134,1,1086,3,632,,1404,3,733,,1,2,,,1,2,,
169799706487474_1245456965588404,https://www.facebook.com/CGTNFrancais/posts/1245456965588404,"#Davos2018 La #Chine et la #Suisse s'engagent à continuer à développer les relations bilatérales
Liu He, membre du Bureau politique du Comité central du Parti communiste chinois et directeur de la Direction générale du Groupe dirigeant central pour les affaires financières et économiques a rencontré mardi à Zurich, dans le nord de la Suisse, Ueli Maurer, vice-président de la Confédération helvétique et chef du Département des finances. M. Liu est à la tête de la délégation chinoise pour la réunion annuelle du Forum économique mondial qui se tient du 23 au 26 janvier à #Davos, dans l'est de la Suisse.",Photo,,,"01/23/2018 08:32:00 PM"," ",25240,24962,0,42672,42203,0,473,317,351,1,1,41575,24449,0,0,457,0,0,0,0,0,0,0,0,0,0,7,169,1,7,179,1,162,164,,,184,167,,,,1,,,,1,,
169799706487474_1245455052255262,https://www.facebook.com/CGTNFrancais/videos/1245455052255262/,"#Davos2018 Le Premier ministre indien Narendra #Modi a prononcé un discours clé lors de la session plénière du Forum économique mondial. Modi est le premier Premier ministre indien à se rendre à 3Davos en plus de 20 ans. Et il n'hésitera pas à se servir de cette plateforme mondiale pour faire la promotion de son pays.",Video,,,"01/23/2018 07:22:47 PM"," ",37030,36954,0,63652,63469,0,2723,2619,4879,10,11,61445,35338,0,0,2521,116,121,0,0,5853,6239,0,0,7236,191294,11,163,3,11,167,3,2460,4,1628,,3074,4,1801,,5,6,,,5,5,,
169799706487474_1245455065588594,https://www.facebook.com/CGTNFrancais/posts/1245455065588594,"#Japon : un mort et plusieurs blessés lors d'une avalanche provoquée par une éruption volcanique 

Un membre de la Force terrestre d'autodéfense du Japon (JGSDF) est mort mardi 23 janvier dans une avalanche provoquée par l'éruption d'un volcan dans la préfecture de Gunma (centre-est), ont rapporté les médias locaux. Cinq autres soldats ont également été emportés dans cette avalanche.

Selon l'agence de météorologie locale, l'éruption du mont Kusatsu-Shirane au nord-ouest de Tokyo s'est produite à 9h59 heure locale (0h59 GMT), entraînant cette avalanche près de la station de ski de Kusatsu.

L'armée a précisé que les cinq autres militaires emportés par l'avalanche, alors qu'ils avaient un entraînement à ski, ont subi de graves blessures telles que des fractures. Un civil également pris dans l'avalanche a été secouru par la JGSDF.

L'éruption a fait au moins dix blessés, dont cinq gravement, ont précisé des officiels locaux.

Une centaine de personnes avaient pris refuge dans une maison de repos lorsque des roches volcaniques en ont percé le toit.

Le mont Kusatsu-Shirane est un volcan actif de 2.160m situé au nord du volcan Asama. Cette chaîne de pics volcaniques se situe tout juste à l'extérieur du village de Kusatsu Onsen, un site populaire pour les promeneurs, les randonneurs et les amateurs de sources chaudes naturelles.",Photo,,,"01/23/2018 07:17:59 PM"," ",76496,76116,0,129130,127992,0,2549,1862,2182,6,6,126446,75289,0,0,2511,0,0,0,0,0,0,0,0,0,0,25,704,4,26,731,4,584,1376,,,681,1501,,,4,2,,,4,2,,
169799706487474_1245414938925940,https://www.facebook.com/CGTNFrancais/posts/1245414938925940,"#Urgent Etats-Unis : 2 morts et 17 blessés après une fusillade dans une école du Kentucky
Une fusillade survenue mardi matin dans un lycée du sud-ouest du Kentucky a causé la mort de deux élèves, et a blessé 17 autres personnes, a déclaré le gouverneur du Kentucky Matt Bevin. M. Bevin a annoncé que le tireur était un élève de 15 ans. Celui-ci a été interpelé après les faits, et va être inculpé pour meurtre et tentative de meurtre.",Photo,,,"01/23/2018 05:52:23 PM"," ",66582,65908,0,114121,112702,0,2066,1380,1613,7,8,111267,65306,0,0,2011,0,0,0,0,0,0,0,0,0,0,25,738,18,25,745,19,779,695,,,861,752,,,2,6,,,2,5,,
169799706487474_1244716182329149,https://www.facebook.com/CGTNFrancais/posts/1244716182329149,"#NouvelAnChinois2018 À l'approche de la Fête du Printemps en Chine, une ambiance de joie se fait sentir de plus en plus et il ne manque jamais une décoration emblématique, comme les lanternes rouges ! L'ancien Palais d'Eté à #Beijing s'est paré de ces fameuses lanternes pour célébrer l'arrivée du Nouvel An chinois.",Photo,,,"01/23/2018 04:00:09 PM"," ",61014,60589,0,105970,105234,0,2001,1091,1227,5,6,104030,59877,0,0,1956,0,0,0,0,0,0,0,0,0,0,15,959,13,16,964,14,368,778,,,417,810,,,4,2,,,3,2,,
169799706487474_1244715638995870,https://www.facebook.com/CGTNFrancais/posts/1244715638995870,"#TopCGTN Une cérémonie de mariage spécial s’est tenue le 20 janvier dans le hall d’un hôpital à Chongqing (sud-ouest de la Chine). La mariée Yang Chunyan, atteinte d’une leucémie et ayant décidé de donner ses organes, a exaucé son dernier voeu : enfiler une robe de mariage. Le marié est également hors du commun. Joué par le présentateur de la cérémonie, l’homme incarne la bénédiction de nombreux bénévoles pour cette belle fille.",Photo,,,"01/23/2018 02:30:10 PM"," ",224907,219555,0,405052,397982,0,14415,10482,13163,19,20,394307,217263,0,0,13975,0,0,0,0,0,0,0,0,0,0,111,4523,40,116,4690,45,3934,7716,,,4874,8289,,,8,12,,,7,12,,
169799706487474_1244715222329245,https://www.facebook.com/CGTNFrancais/posts/1244715222329245,"Une vue à couper le souffle ! 2018 bonhommes de neige de différentes formes font rayonner la beauté de l’#hiver ! 
2018 bonhommes de neige sont apparus dans le parc de Glace et de Neige au bord d’un fleuve dans le district de Daoli à Harbin (nord-est de la #Chine). Mesurant de 50 centimètres à plus de 10 mètres de haut, ils attirent la curiosité des habitants.",Photo,,,"01/23/2018 01:30:14 PM"," ",109659,106462,0,192690,186278,0,4203,2447,2817,10,10,184405,104274,0,0,3893,0,0,0,0,0,0,0,0,0,0,97,1860,19,104,1863,23,772,1791,,,937,1880,,,6,4,,,6,4,,
169799706487474_1244714365662664,https://www.facebook.com/CGTNFrancais/posts/1244714365662664,"#TopCGTN Il manque de la neige cet hiver ? Il fait très sec ? Ne vous inquiétez pas ! On peut recourir à la neige artificielle ou à la neige de culture ! 
Pour atténuer la sécheresse et améliorer la qualité de l'air, la ville de Shijiazhuang de la province du Hebei (nord de la Chine) a récemment démarré une opération destinée à « fabriquer de la neige artificielle » par le biais de roquettes ou d'avions. Le 22 janvier, 44 roquettes ont été tirées dans ce but.",Photo,,,"01/23/2018 12:00:09 PM"," ",262712,250269,0,470990,449043,0,13463,9349,11123,29,30,445719,248159,0,0,12761,0,0,0,0,0,0,0,0,0,0,284,4374,56,300,4417,83,3521,6587,,,4040,7083,,,11,19,,,11,18,,
169799706487474_1244843305649770,https://www.facebook.com/CGTNFrancais/posts/1244843305649770,"Il se pourrait qu'on vienne de gagner quelques années de jeunesse ! Une nouvelle étude scientifique indique qu'à 24 ans, on serait encore adolescent ! 

Des chercheurs australiens dénoncent la définition actuelle de l'adolescence, qu'ils jugent &quot;particulièrement restrictive&quot; et considèrent que cette période s'étendrait désormais de 10 à 24 ans, plutôt que de 10 ans à 19 ans.

Selon leur étude publiée dans la revue britannique The Lancet and Adolescent Health et repérée par Mashable, l'âge moyen des premières règles a ainsi reculé de quatre ans en 150 ans, pour atteindre 12 ou 13 ans. 

Ces scientifiques soulignent aussi un autre fait : le cerveau continue d'évoluer après nos 20 ans, et les dents de sagesse peuvent apparaître après 25 ans. Preuves que l'on ne peut pas encore être considéré comme un adulte. 

Mais si les arguments physiologiques doivent être pris en compte, il ne faut pas oublier les causes sociologiques, telles que le départ plus tardif des jeunes du cocon familial, des études plus longues, le recul de l'âge du mariage, etc.

Une évolution qui justifie pour ces chercheurs d'adapter la définition de l'adolescence pour faire évoluer les lois, les politiques sociales et le service public.",Photo,,,"01/23/2018 12:00:00 PM"," ",64118,63303,0,114437,113513,0,2282,1279,1492,3,4,112345,62404,0,0,2222,0,0,0,0,0,0,0,0,0,0,19,1091,11,21,1120,12,589,760,,,669,823,,,,4,,,,3,,
169799706487474_1244713852329382,https://www.facebook.com/CGTNFrancais/posts/1244713852329382,"Première éclipse lunaire totale de lune bleue en 150 ans le 31 janvier prochain
Selon l'observatoire de la montagne Pourpre, qui dépend de l'Académie des sciences de #Chine, une rare éclipse lunaire totale se produira dans la nuit du 31 janvier, date à laquelle la lune sera à la fois « super » et « bleue ». Le terme de « lune bleue » ne se réfère pas à sa couleur, mais à la deuxième pleine lune dans un mois civil. Dans la plupart des régions de la côte du Pacifique, les amateurs de phénomènes célestes seront en mesure de voir cette éclipse spéciale, qui commencera à 20h51 heure de Beijing et durera précisément 1 heure et 16 minutes.",Photo,,,"01/23/2018 10:30:07 AM"," ",106963,102033,0,191937,181372,0,3847,2467,2850,11,14,179859,100649,0,0,3560,0,0,0,0,0,0,0,0,0,0,180,1501,12,193,1559,13,1376,1223,,,1521,1329,,,8,6,,,5,6,,
169799706487474_1244805178986916,https://www.facebook.com/CGTNFrancais/posts/1244805178986916,"Quand on dit qu'il faut consommer toute chose avec modération... 🍣🍣 Un homme mange des sushis tous les jours et trouve dans son instestin un ver... long de 2 mètres !

En Californie, un amateur de sushis d'une trentaine d'années, gros mangeur de poisson cru, a extrait de son corps un ver de deux mètres de long ! Souffrant de diarrhées violentes et de douleurs abdominales, il s'est présenté aux urgences et a demandé à être traité avec des vermifuges. 

Si les médecins ne l'ont pas tout de suite pris au sérieux, ils ont vite changé d'attitude lorsque le patient leur a montré le parasite en question, enroulé autour d'un rouleau de papier toilette...

Les médecins ont alors questionné le patient sur ses récents voyages ou encore sa consommation d'eau impropre pour tenter de trouver le facteur en cause. L'homme a alors révélé manger des sushis au quotidien... Une habitude qui a permis au ténia de se développer. 

En effet, si le saumon cru n'est pas congelé assez longtemps ou à une température assez basse, certains parasites peuvent survivre et s'installer dans le tube digestif humain. 

A bon entendeur...",Photo,,,"01/23/2018 10:00:00 AM"," ",108205,107290,0,197437,195794,0,3345,1825,2094,10,13,194025,105920,0,0,3259,0,0,0,0,0,0,0,0,0,0,36,1608,20,39,1608,23,1159,749,,,1322,772,,,9,4,,,6,4,,
169799706487474_1244785298988904,https://www.facebook.com/CGTNFrancais/posts/1244785298988904,"✉️📬Un facteur de 60 ans livre le courrier dans une région montagneuse depuis 30 ans !

Dans la région montagneuse du comté de Pingshun, dans la province chinoise du Shanxi (nord), Yang Yinke, un facteur de 60 ans, distribue depuis 30 ans des journaux et des courriers le long des sentiers des montagnes reculées de Taihang. 

Contrairement à ses collègues postiers qui travaillent dans les grandes villes, Yang a besoin d'un bâton et d'un sac pour grimper à pieds les sentiers étroits des montagnes tous les jours, qu'il vente ou qu'il pleuve. 

Pour atteindre chaque village de la région, Yang doit quitter son domicile à 5 heures du matin et marcher trois heures jusqu'à la poste, pour ramasser les courriers et les papiers quotidiens. Tout au long de la journée, Yang monte et descend entre différents villages jusqu'au crépuscule.

Pendant l'hiver, les sentiers couverts de neige rendent son voyage plus dangereux. Au cours des 30 dernières années, Yang a parcouru près de 200 000 kilomètres !",Photo,,,"01/23/2018 09:34:01 AM"," ",110882,110286,0,193617,191684,0,4541,3466,4093,4,4,189637,108604,0,0,4451,0,0,0,0,0,0,0,0,0,0,43,1189,10,44,1189,10,1078,2656,,,1258,2835,,,2,2,,,2,2,,
169799706487474_1244713482329419,https://www.facebook.com/CGTNFrancais/posts/1244713482329419,"#19eCongrèsDuPCC  Exigence de &quot;se regarder dans le miroir, rectifier sa tenue, prendre sa douche et se soigner&quot;.
Focus sur les nouvelles pensées ou mesures définies par le 19e Congrès national du PCC.",Photo,,,"01/23/2018 09:03:08 AM"," ",38172,38142,0,69688,69534,0,682,435,490,2,2,68679,37236,0,0,667,0,0,0,0,0,0,0,0,0,0,4,256,4,4,258,4,184,267,,,210,280,,,,2,,,,2,,
169799706487474_1244712838996150,https://www.facebook.com/CGTNFrancais/posts/1244712838996150,"#CultureChinoise Des étudiants étrangers découvrent le festival Laba dans le Jiangsu (est de la Chine)
Le festival Laba, une fête traditionnelle chinoise qui a lieu le 8e jour du 12e mois lunaire, tombe cette année le 24 janvier. Ce jour-là, il est d'usage de manger une bouillie Laba spéciale, généralement confectionnée avec au moins huit ingrédients, représentant les prières des gens pour de bonnes récoltes.",Photo,,,"01/23/2018 07:50:13 AM"," ",120734,120023,0,207715,206616,0,5026,3264,3776,7,7,204416,118649,0,0,4957,0,0,0,0,0,0,0,0,0,0,18,1700,14,18,1755,15,998,2511,,,1175,2601,,,3,4,,,3,4,,
169799706487474_1244725512328216,https://www.facebook.com/CGTNFrancais/posts/1244725512328216,"Plus d'un an après l'introduction du concept, Amazon a ouvert lundi son magasin #AmazonGo, basé sur l'intelligence artificielle, au centre-ville de Seattle.

Le magasin, situé au rez-de-chaussée du siège social de la société, à Seattle, permet aux clients de scanner leur smartphone avec l'application Amazon Go à un tourniquet, de sélectionner les articles qu'ils veulent, et de partir.

En combinant la vision par ordinateur, des algorithmes d'apprentissage automatique et des capteurs, le géant de la vente en ligne peut déterminer ce que les gens ont acheté et facturer leur compte Amazon. Si un client repose un objet, celui-ci n'est pas facturé. (Photos : Amazon via AP, Mike Kane / Bloomberg via Getty Images, VCG, Jeffrey Dastin via VCG)",Photo,,,"01/23/2018 07:00:00 AM"," ",67260,66698,0,119724,118289,0,1860,1358,1667,11,13,117002,65805,0,0,1794,0,0,0,0,0,0,0,0,0,0,23,508,5,24,510,5,531,951,,,665,1002,,,10,3,,,8,3,,
169799706487474_1244711982329569,https://www.facebook.com/CGTNFrancais/posts/1244711982329569,"#Davos2018 Paysages enneigés à Dunhuang en #Chine. Une autre beauté hivernale que celle de Davos où il neige aussi et où le Forum économique mondial 2018 a lieu.
Des touristes visitent le site touristique enneigé du Lac du Croissant de Lune entouré par les Dunes de Sable Chantant, au sud de la ville de Dunhuang dans la province du Gansu (nord-ouest de la Chine).",Photo,,,"01/23/2018 06:30:09 AM"," ",56500,56230,0,99738,98872,0,1833,1005,1165,7,7,97930,55557,0,0,1789,0,0,0,0,0,0,0,0,0,0,23,883,6,27,912,6,316,720,,,377,788,,,1,6,,,1,6,,
169799706487474_1244759825658118,https://www.facebook.com/CGTNFrancais/posts/1244759825658118,"👧👦 Une école élémentaire chinoise crée une ferme écologique sur ses toits ! 🌾🌻 

Une école élémentaire de la ville de Hangzhou, dans la province du Zhejiang, a transformé les toit de son établissement en une véritable ferme écologique !

La ferme multifonctionnelle moderne se compose d'un verger, d'un jardin de tournesols, de plantations de cultures et même d'une rizière favorisant la pisciculture. 

Pour faire fonctionner la ferme de manière écologique, l'école a utilisé un digesteur à biogaz et un système d'irrigation automatique.

La «ferme suspendue» de 1 300 mètres carrés a été conçue et est entretenue par les élèves, les parents, les enseignants ainsi que des experts agricoles de l'Académie des sciences agricoles du Zhejiang.",Photo,,,"01/23/2018 06:30:00 AM"," ",80492,78555,0,145243,142692,0,2587,1643,1889,10,10,141246,77469,0,0,2501,0,0,0,0,0,0,0,0,0,0,53,1006,13,55,1006,14,579,1155,,,688,1201,,,4,6,,,4,6,,
169799706487474_1244652465668854,https://www.facebook.com/CGTNFrancais/videos/1244652465668854/,"#CorrespondantsSpéciaux L'Organisation Internationale du Travail, #OIT, vient de lancer son nouveau rapport sur l'emploi et les questions sociales dans le monde. Malgré une stabilisation du taux du chômage, le nombre de chômeurs reste élevé tout comme le manque de travail décent.",Video,,,"01/23/2018 05:00:51 AM"," ",24729,24575,0,51360,51153,0,1309,1175,2227,7,8,49260,23117,0,0,1227,50,50,0,0,2518,2783,0,0,4104,148030,11,171,4,13,183,4,1098,10,630,,1469,10,748,,1,6,,1,1,6,,1
